code,p22lee,p22yoon,p22sim,p22etc,p22valid,p17moon,p17HY,p17Ahn,p17sim,p17etc,p17valid,r22lee,r22yoon,r22sim,r17moon,r17HYA,r17sim,d_the,d_kuk,d_sim,win22r,winner,wingap22,sec22r,sec22
1105064,7087,6348,442,128,14005,6046,3350,3073,927,3124,13447,0.506033559,0.45326669,0.031560157,0.449617015,0.477653008,0.068937309,0.056416544,-0.024386318,-0.037377152,0.506033559,1,0.052766869,0.45326669,2
1105065,6408,6520,371,119,13418,6439,4062,3523,971,3579,15051,0.477567447,0.485914443,0.027649426,0.427812106,0.503953226,0.064513986,0.049755341,-0.018038782,-0.03686456,0.485914443,2,0.008346997,0.477567447,1
1105066,7147,9972,441,91,17651,7545,5537,4281,1082,4322,18486,0.404906238,0.564953827,0.02498442,0.408146706,0.53110462,0.05853078,-0.003240468,0.033849207,-0.03354636,0.564953827,2,0.160047589,0.404906238,1
1105067,5076,5595,300,111,11082,5431,3553,3112,685,3160,12829,0.458040065,0.504872767,0.027070926,0.42333775,0.519526074,0.053394653,0.034702315,-0.014653307,-0.026323727,0.504872767,2,0.046832702,0.458040065,1
1105053,6192,6661,558,156,13567,6055,3086,2386,1225,2429,12795,0.456401563,0.490970738,0.041129211,0.473231731,0.427667057,0.095740524,-0.016830169,0.06330368,-0.054611313,0.490970738,2,0.034569175,0.456401563,1
1105054,5410,5245,384,134,11173,5267,3061,2660,912,2719,11959,0.484202989,0.469435246,0.034368567,0.44042144,0.47838448,0.076260557,0.043781549,-0.008949235,-0.04189199,0.484202989,1,0.014767744,0.469435246,2
1106081,8226,8759,492,174,17651,7358,5298,4162,1054,4248,17958,0.466035919,0.496232508,0.027873775,0.409733823,0.52678472,0.058692505,0.056302095,-0.030552212,-0.03081873,0.496232508,2,0.030196589,0.466035919,1
1106082,6173,7227,375,140,13915,5790,4695,3509,852,3592,14929,0.443621991,0.519367589,0.026949335,0.387835756,0.549534463,0.057070132,0.055786235,-0.030166874,-0.030120797,0.519367589,2,0.075745598,0.443621991,1
1106083,7304,8033,421,150,15908,6707,4832,3982,918,4065,16522,0.459140055,0.504966055,0.026464672,0.40594359,0.533470524,0.055562281,0.053196465,-0.028504469,-0.029097609,0.504966055,2,0.045825999,0.459140055,1
1106084,5705,6047,274,89,12115,5157,3837,2978,750,3031,12775,0.470903838,0.499133306,0.022616591,0.403679061,0.533463796,0.058708415,0.067224778,-0.034330491,-0.036091824,0.499133306,2,0.028229468,0.470903838,1
1106091,7763,8468,448,121,16800,6189,3850,3346,864,3398,14301,0.462083333,0.504047619,0.026666667,0.432766939,0.503181596,0.060415356,0.029316394,0.000866023,-0.033748689,0.504047619,2,0.041964286,0.462083333,1
