dong_cd,dong_nm
3110455,주엽1동
3110456,주엽2동
3110457,대화동
3110458,송포동
31104XX,탄현1동
31104XX,탄현2동
31104XX,덕이동
31104XX,가좌동
3111051,중앙동
3111052,갈현동
3111053,별양동
3111054,부림동
3111055,과천동
3111056,문원동
3117051,고천동
3117052,부곡동
3117053,오전동
3117054,내손1동
3117055,내손2동
3117056,청계동
3112051,갈매동
3112052,동구동
3112053,인창동
3112054,교문1동
3112055,교문2동
3112056,수택1동
3112057,수택2동
3112058,수택3동
3113011,와부읍
3113012,진접읍
3113013,화도읍
3113014,진건읍
3113015,오남읍
3113031,별내면
3113034,수동면
3113035,조안면
3113051,호평동
3113052,평내동
3113053,금곡동
3113054,양정동
3113057,별내동
3113058,다산1동
3113059,다산2동
3113016,퇴계원읍
3114051,중앙동
3114052,대원동
3114053,남촌동
3114054,신장동
3114055,세마동
3114056,초평동
3124012,봉담읍
3124013,우정읍
3124014,향남읍
3124031,매송면
3124033,비봉면
3124035,마도면
3124036,송산면
3124037,서신면
3124038,팔탄면
3124039,장안면
3124042,양감면
3124043,정남면
3124015,남양읍
3124052,진안동
3124053,병점1동
3124054,병점2동
3124055,반월동
3124056,기배동
3124057,화산동
3124061,동탄1동
3124060,동탄2동
3124062,동탄3동
3124064,동탄4동
3124067,새솔동
3124065,동탄5동
3124070,동탄6동
3124069,동탄7동
3124071,동탄8동
3115051,대야동
3115052,신천동
3115053,신현동
3115054,은행동
3115055,매화동
3115056,목감동
3115068,군자동
3115064,정왕본동
3115065,정왕1동
3115061,정왕2동
3115062,정왕3동
3115072,정왕4동
3115059,과림동
3115070,연성동
3115067,능곡동
3115069,월곶동
3115071,장곡동
3115074,배곧1동
3115075,배곧2동
3116051,군포1동
3116052,군포2동
3116054,산본1동
3116055,산본2동
